n,k,seed,algorithm,correct,dt
10,3,18113572431392073979,graham_scan,True,66223
10,3,18113572431392073979,gift_wrapping,True,20929
10,4,12900975656410155812,graham_scan,True,65551
10,4,12900975656410155812,gift_wrapping,True,26000
10,6,11908949266295931830,graham_scan,True,58605
10,6,11908949266295931830,gift_wrapping,True,37807
10,8,10084381100261345984,graham_scan,True,60385
10,8,10084381100261345984,gift_wrapping,True,48830
10,10,12217223963334047100,graham_scan,True,59604
10,10,12217223963334047100,gift_wrapping,True,61001
47,3,13904633754231460162,graham_scan,True,282931
47,3,13904633754231460162,gift_wrapping,True,89881
47,14,17361087775580924983,graham_scan,True,272899
47,14,17361087775580924983,gift_wrapping,True,399720
47,25,16267149298952689329,graham_scan,True,271331
47,25,16267149298952689329,gift_wrapping,True,710688
47,36,12387003010246557725,graham_scan,True,263488
47,36,12387003010246557725,gift_wrapping,True,1054669
47,47,8957378614930249257,graham_scan,True,264730
47,47,8957378614930249257,gift_wrapping,True,1357669
223,3,6834911700125832587,graham_scan,True,1573387
223,3,6834911700125832587,gift_wrapping,True,497890
223,58,4716470163887550440,graham_scan,True,1538468
223,58,4716470163887550440,gift_wrapping,True,9053424
223,113,3035558097894194271,graham_scan,True,1481701
223,113,3035558097894194271,gift_wrapping,True,17648288
223,168,4250415663078819487,graham_scan,True,1449152
223,168,4250415663078819487,gift_wrapping,True,25561023
223,223,10925562188133040083,graham_scan,True,1449240
223,223,10925562188133040083,gift_wrapping,True,36415521
1057,3,15222089116656713256,graham_scan,True,6547388
1057,3,15222089116656713256,gift_wrapping,True,2108326
1057,266,3721571900195402602,graham_scan,True,7596219
1057,266,3721571900195402602,gift_wrapping,True,179562460
1057,530,4062474860216186140,graham_scan,True,6801870
1057,530,4062474860216186140,gift_wrapping,True,352713639
1057,793,15864105539246864217,graham_scan,True,6788168
1057,793,15864105539246864217,gift_wrapping,True,522556264
1057,1057,16919893103135977964,graham_scan,True,6708445
1057,1057,16919893103135977964,gift_wrapping,True,719428693
4999,3,12549044310166956643,graham_scan,True,35879774
4999,3,12549044310166956643,gift_wrapping,True,10173948
4999,1252,18027033868164020798,graham_scan,True,46659046
4999,1252,18027033868164020798,gift_wrapping,True,4000485235
4999,2501,7881343565309046599,graham_scan,True,52735495
4999,2501,7881343565309046599,gift_wrapping,True,7925000137
4999,3750,1603630869624829463,graham_scan,True,58634004
4999,3750,1603630869624829463,gift_wrapping,True,11705698166
4999,4999,16143731949856411352,graham_scan,True,60665813
4999,4999,16143731949856411352,gift_wrapping,True,16735825516
